stopid,stopname,stopsite,latitude,longitude,syscode,system,muni
102853,Queensway Exchange Bay B,Queensway_Exchange_Bay_B,49.887464,-119.495886,KEL,Kelowna Regional Transit System,Kelowna
102854,Queensway Exchange Bay J,Queensway_Exchange_Bay_J,49.887357,-119.494738,KEL,Kelowna Regional Transit System,Kelowna
102855,Queensway Exchange Bay I,Queensway_Exchange_Bay_I,49.887368,-119.494485,KEL,Kelowna Regional Transit System,Kelowna
102856,Queensway Exchange Bay H,Queensway_Exchange_Bay_H,49.887365,-119.494192,KEL,Kelowna Regional Transit System,Kelowna
102857,Queensway Exchange Bay G,Queensway_Exchange_Bay_G,49.887363,-119.493929,KEL,Kelowna Regional Transit System,Kelowna
102858,Queensway Exchange Bay F,Queensway_Exchange_Bay_F,49.887254,-119.494045,KEL,Kelowna Regional Transit System,Kelowna
102859,Queensway Exchange Bay E,Queensway_Exchange_Bay_E,49.887257,-119.494324,KEL,Kelowna Regional Transit System,Kelowna
102860,Queensway Exchange Bay D,Queensway_Exchange_Bay_D,49.88726,-119.494602,KEL,Kelowna Regional Transit System,Kelowna
102861,Queensway Exchange Bay C,Queensway_Exchange_Bay_C,49.887264,-119.494825,KEL,Kelowna Regional Transit System,Kelowna
102862,Queensway Exchange Bay A,Queensway_Exchange_Bay_A,49.887462,-119.496218,KEL,Kelowna Regional Transit System,Kelowna
102863,Rutland at Sumac (NB),NB_Rutland_FS_Sumac,49.90388,-119.38671,KEL,Kelowna Regional Transit System,Kelowna
102865,Water at Doyle (NB),NB_Water_FS_Doyle,49.889233,-119.496511,KEL,Kelowna Regional Transit System,Kelowna
102866,Doyle at St Paul (EB),EB_Doyle_FS_St Paul,49.888909,-119.491494,KEL,Kelowna Regional Transit System,Kelowna
102867,Doyle at Bertram (WB),WB_Doyle_FS_Bertram,49.889073,-119.490581,KEL,Kelowna Regional Transit System,Kelowna
102868,Water at Leon (SB),SB_Water_NS_Leon,49.884795,-119.496735,KEL,Kelowna Regional Transit System,Kelowna
102869,Water at Harvey (NB),NB_Water_FS_Harvey,49.884199,-119.496348,KEL,Kelowna Regional Transit System,Kelowna
102870,Water at Cawston (NB),NB_Water_FS_Cawston,49.892092,-119.496518,KEL,Kelowna Regional Transit System,Kelowna
102874,Bernard at Bertram (WB),WB_Bernard_NS_Bertram,49.886381,-119.489869,KEL,Kelowna Regional Transit System,Kelowna
102875,Richter at Lawrence (SB),SB_Richter_NS_Lawrence,49.885636,-119.488659,KEL,Kelowna Regional Transit System,Kelowna
